review,sentiment
"I absolutely love this printer, it works perfectly! Definitely a great buy.",positive
The laptop arrived damaged and customer service was rude.,negative
"Perfect headphones for the price, couldn't be happier.",positive
The speaker is functional but the design could improve. It's okay for the price.,neutral
"Excellent quality, blender arrived on time and works great.",positive
"The camera is okay, nothing special about it.",neutral
I'm so glad I,positive
"Awful tablet, broke within days",negative
"Really good charger, does exactly what it promises. Shipping was fast too.",positive
"This shoes is fine, could be better though. Nothing to write home about.",neutral
"It's an average book, meets basic requirements.",neutral
The watch arrived damaged and customer service was rude. Do not buy this.,negative
"Very happy with this book, five stars! Definitely a great buy.",positive
"Best monitor I've ever bought, highly recommend it. My whole family loves it.",positive
"Excellent quality, laptop arrived on time and works great.",positive
"The speaker is decent for the price, not amazing. Nothing to write home about.",neutral
"This router is fine, could be better though.",neutral
"Not bad, not great, just a regular backpack. Nothing to write home about.",neutral
"Superb build quality, this shoes is fantastic. My whole family loves it.",positive
"Not bad, not great, just a regular microwave. Nothing to write home about.",neutral
"Best blender I've ever bought, highly recommend it. Definitely a great buy.",positive
Good monitor.,positive
"This microwave is terrible, broke after one day.",negative
"This phone is terrible, broke after one day. Complete waste of money.",negative
"Average camera, does the job but nothing",neutral
"I'm so glad I bought this laptop, it's wonderful. Will be buying more from this brand.",positive
"Reasonably priced laptop, performs adequately. It's okay for the price.",neutral
"I regret buying this coffee maker, it's just useless. Never ordering from here again.",negative
"I'm so glad I bought this coffee maker, it's wonderful. Shipping was fast too.",positive
Good television.,positive
"Waste, avoid this router.",negative
"This charger does what it says, nothing extraordinary. It's okay for the price.",neutral
"It's a standard microwave, works fine for basic needs. It's okay for the price.",neutral
"Waste, avoid this speaker.",negative
Neither good nor bad.,neutral
"I absolutely love this blender, it works perfectly!",positive
Bad book.,negative
"Terrible build quality, this mouse is a huge letdown. Never ordering from here again.",negative
"Awful blender, broke within days of use. Asked for a refund.",negative
"Very disappointed with this jacket, waste of money. Complete waste of money.",negative
Okay vacuum cleaner.,neutral
"It's a standard monitor, works fine for basic needs.",neutral
"Worst tablet I've ever purchased, total waste. Never ordering from here again.",negative
"Horrible experience with this laptop, never buying again. Asked for a refund.",negative
"The microwave works as expected, no complaints really. It's okay for the price.",neutral
"The microwave is decent for the price, not amazing.",neutral
This printer is cheaply made and fell apart quickly. Complete waste of money.,negative
"Best headphones I've ever bought, highly recommend it. Will be buying more from this brand.",positive
The backpack arrived damaged and customer service was rude.,negative
"Average television, does the job but nothing more.",neutral
The coffee maker is decent for,neutral
The monitor is functional but the design could improve. Nothing to write home about.,neutral
"The charger stopped working within a week, awful. Asked for a refund.",negative
Good keyboard.,positive
"It's an average mouse, meets basic requirements. Nothing to write home about.",neutral
"This laptop is amazing, worth every penny. Definitely a great buy.",positive
"Average keyboard, does the job but nothing",neutral
"This charger is terrible, broke after one day. Do",negative
"Not bad, not great, just a regular phone.",neutral
"Bad vacuum cleaner, completely different from what was advertised. Do not buy this.",negative
"Average blender, does the job but nothing more. Nothing to write home about.",neutral
Bad tablet.,negative
"Waste, avoid this coffee maker.",negative
"Very disappointed with this jacket, waste of money.",negative
"The speaker works flawlessly, I'm impressed. Definitely",positive
"Reasonably priced phone, performs adequately. Might consider other brands next time.",neutral
"Great keyboard, exceeded my expectations. Will be buying more from this brand.",positive
"I regret buying this microwave, it's just useless. Asked for a refund.",negative
"The blender is okay, nothing special about it. Might consider other brands next time.",neutral
"I'm so glad I bought this vacuum cleaner, it's wonderful. Definitely a great buy.",positive
"Perfect coffee maker for the price, couldn't be happier. Will be buying more from this brand.",positive
"Awful vacuum cleaner, broke within days of use. Complete waste of money.",negative
"It's a standard headphones, works fine for basic needs.",neutral
"Terrible build quality, this backpack is a huge letdown. Never ordering from here again.",negative
This headphones is cheaply made and fell apart quickly. Never ordering from here again.,negative
"The monitor is defective, requesting a refund immediately. Asked for a refund.",negative
"This mouse is amazing, worth every penny.",positive
"Really good book, does exactly what it promises.",positive
"The printer is okay, nothing special about it. Might consider other brands next time.",neutral
Okay backpack.,neutral
"Perfect keyboard for the price, couldn't be happier. Shipping was fast too.",positive
"The charger works flawlessly, I'm impressed. Shipping",positive
"Perfect mouse for the price, couldn't be happier.",positive
The tablet arrived damaged and customer service was rude.,negative
"The laptop is decent for the price, not amazing. Nothing to write home about.",neutral
I regret buying this,negative
"Waste, avoid this backpack.",negative
"Superb build quality, this shoes is fantastic. Definitely a great buy.",positive
"The television is decent for the price, not amazing. Might consider other brands next time.",neutral
The speaker arrived damaged and customer service was rude.,negative
"Terrible build quality, this mouse is a huge letdown. Complete waste of money.",negative
"Very disappointed with this television, waste of money. Never ordering from here again.",negative
"The laptop is okay for casual use, nothing outstanding.",neutral
"It's a standard blender, works fine for basic needs. It's okay for the price.",neutral
"Bad printer, completely different from what was advertised. Asked for a refund.",negative
"Perfect phone for the price, couldn't be happier.",positive
"Very happy with this watch, five stars!",positive
"I'm so glad I bought this coffee maker, it's wonderful.",positive
"The television stopped working within a week, awful.",negative
Bad laptop.,negative
"Fantastic headphones, customer service was also great. Shipping was fast too.",positive
The jacket is functional,neutral
"The vacuum cleaner works flawlessly, I'm impressed. Will be buying more from this brand.",positive
"Best phone I've ever bought, highly recommend it. Will be buying more from this brand.",positive
"Very disappointed with this camera, waste of money.",negative
"Reasonably priced charger, performs adequately. It's okay for the price.",neutral
"Horrible experience with this speaker, never buying",negative
"Extremely disappointed, the coffee maker does not work at all. Never ordering from here again.",negative
"Not bad, not great, just a regular mouse. Nothing to write home about.",neutral
"The coffee maker works as expected, no complaints really. Nothing to write home about.",neutral
"Best speaker I've ever bought, highly recommend it. Will be buying more from this brand.",positive
"Fantastic jacket, customer service was also great. Shipping was fast too.",positive
"Best router I've ever bought, highly recommend it.",positive
"Really good blender, does exactly what it promises. Shipping was fast too.",positive
"Great charger, exceeded my expectations. Will be buying more from this brand.",positive
"Average charger, does the job but nothing more.",neutral
"Outstanding keyboard, will definitely buy again. Will be buying more from this brand.",positive
"Terrible build quality, this backpack is a huge letdown.",negative
"Poor quality printer, would not recommend.",negative
This book is cheaply made and fell apart quickly. Complete waste of money.,negative
"I absolutely love this jacket, it works perfectly! Shipping was fast too.",positive
The monitor is functional but the design could improve.,neutral
The charger arrived damaged and customer service was rude. Complete waste of money.,negative
"Average jacket, does the job but nothing more. It's okay for the price.",neutral
"This backpack is fine, could be better though.",neutral
"The watch is okay for casual use, nothing outstanding. It's okay for the price.",neutral
"Average coffee maker, does the job but nothing more.",neutral
"Awful speaker, broke within days of use. Never ordering from here again.",negative
"Average laptop, does the job but nothing more.",neutral
"It's an average headphones, meets basic requirements.",neutral
"Top notch speaker, fast delivery",positive
"Awful coffee maker, broke within days of use. Never ordering from here again.",negative
"Very happy with this keyboard,",positive
"This charger is terrible, broke after one day. Never",negative
"Top notch headphones, fast delivery and great packaging. Will be buying more from this brand.",positive
"This coffee maker is terrible, broke after one day.",negative
"It's an average phone, meets basic requirements.",neutral
"The shoes is okay, nothing special about it.",neutral
Okay coffee maker.,neutral
"The router is okay, nothing special about it. It's okay for the price.",neutral
"It's a standard coffee maker, works fine for basic needs. Might consider other brands next time.",neutral
"This microwave is a scam, doesn't work as advertised. Asked for a refund.",negative
"Very disappointed with this monitor, waste of money.",negative
"This jacket is a scam, doesn't work as advertised. Asked for a refund.",negative
"It's an average router, meets basic requirements.",neutral
"The keyboard is okay, nothing special about it. It's okay for the price.",neutral
Okay monitor.,neutral
"Fantastic router, customer service",positive
"This watch is amazing, worth every penny.",positive
"I regret buying this shoes, it's just useless. Asked for a refund.",negative
"Outstanding book, will definitely buy again. My whole family loves it.",positive
The backpack arrived damaged and customer service was rude. Asked for a refund.,negative
"Poor quality jacket, would not recommend. Complete waste of money.",negative
"The coffee maker is defective, requesting a refund immediately. Do not buy this.",negative
"It's a standard backpack, works fine for basic needs. Nothing to write home about.",neutral
The camera is functional but the design could improve.,neutral
The coffee maker is decent for the,neutral
"Bad jacket, completely different from what was advertised. Do",negative
"The watch works flawlessly, I'm impressed. My whole family loves it.",positive
"This laptop is amazing, worth every penny.",positive
I'm so glad I bought this,positive
"Terrible build quality, this book is a huge letdown. Asked for a refund.",negative
"Extremely disappointed, the laptop does not work",negative
"This watch is terrible, broke after one day.",negative
Good jacket.,positive
"Reasonably priced backpack, performs adequately. Nothing to",neutral
"Perfect keyboard for the price, couldn't be happier. Will be buying more from this brand.",positive
"This television is a scam, doesn't work as advertised.",negative
"The watch is okay, nothing special about it.",neutral
The watch arrived damaged and customer service was rude. Complete waste of money.,negative
"The phone is decent for the price, not amazing.",neutral
"The vacuum cleaner works flawlessly, I'm impressed. My whole family loves it.",positive
"Outstanding speaker, will definitely buy again. Will be buying more from this brand.",positive
"Great charger, exceeded my expectations.",positive
"Reasonably priced speaker, performs adequately.",neutral
"Nice blender, thanks.",positive
"The speaker works flawlessly, I'm impressed. My whole family loves it.",positive
Good coffee maker.,positive
"Best backpack I've ever bought, highly recommend it. Will be buying more from this brand.",positive
"The printer works flawlessly, I'm impressed. Definitely a great buy.",positive
The laptop is functional but the design could improve. It's okay for the price.,neutral
"Perfect monitor for the price, couldn't be happier. My whole family loves it.",positive
"This watch does what it says, nothing extraordinary.",neutral
"Worst blender I've ever purchased, total waste. Do not buy this.",negative
"Great tablet, exceeded my expectations. Definitely a great buy.",positive
"I'm so glad I bought this headphones, it's wonderful. My whole family loves it.",positive
"This monitor exceeded all my expectations, love it. Shipping was fast too.",positive
"The vacuum cleaner stopped working within a week, awful. Complete waste of money.",negative
"This speaker is terrible, broke after one day. Complete waste of money.",negative
"The tablet is defective, requesting a refund immediately.",negative
"The vacuum cleaner works as expected, no complaints really. Might consider other brands next time.",neutral
The phone arrived damaged and customer service was rude.,negative
"Excellent quality, mouse arrived on time and",positive
"I absolutely love this speaker, it works perfectly! Shipping was fast too.",positive
"Excellent quality, jacket arrived on time and works great. Definitely a great buy.",positive
"This coffee maker is terrible, broke after one day. Never ordering from here again.",negative
Bad coffee maker.,negative
"Perfect book for the price, couldn't be happier. Definitely a great buy.",positive
"Nice speaker, thanks.",positive
"Very happy with this headphones, five stars!",positive
"The book works flawlessly, I'm impressed. Definitely a great buy.",positive
"Fantastic monitor, customer service was also great. Will be buying more from this brand.",positive
"Not bad, not great, just a regular vacuum cleaner. Might consider other brands next time.",neutral
"Average tablet, does the job but nothing more. Nothing to write home about.",neutral
"Worst headphones I've ever purchased, total waste.",negative
Okay printer.,neutral
Very disappointed with this,negative
"The charger is defective, requesting a refund immediately. Complete waste of money.",negative
"It's an average blender, meets basic requirements.",neutral
"Excellent quality, television arrived on time and works great. Will be buying more from this brand.",positive
"Worst monitor I've ever purchased, total waste.",negative
This watch is cheaply made and fell apart quickly. Asked for a refund.,negative
Very happy with,positive
"This monitor is a scam, doesn't work as advertised.",negative
"I'm so glad I bought this backpack, it's wonderful.",positive
"The jacket stopped working within a week, awful. Complete",negative
"Poor quality shoes, would not recommend.",negative
This shoes is cheaply made and fell apart quickly. Never,negative
"I absolutely love this phone, it works perfectly! Shipping was fast too.",positive
"Fantastic backpack, customer service was also great. Definitely a great buy.",positive
"Terrible build quality, this backpack is a",negative
"Outstanding phone, will definitely buy again. My whole",positive
"The keyboard is okay for casual use, nothing outstanding.",neutral
"Terrible build quality, this router is a huge letdown. Do not buy this.",negative
"This camera does what it says, nothing extraordinary.",neutral
"Average speaker, does the job but nothing more. Nothing to write home about.",neutral
"Average microwave, does the job but nothing more.",neutral
"Nice watch, thanks.",positive
"Really good monitor, does exactly what it promises. My",positive
"Great watch, exceeded my expectations. Shipping was fast too.",positive
"The speaker is okay, nothing special about it. It's okay for the price.",neutral
"The keyboard stopped working within a week, awful. Complete waste of money.",negative
"Outstanding television, will definitely buy again.",positive
"I'm so glad I bought this keyboard, it's wonderful. Shipping was fast too.",positive
"Great speaker, exceeded my expectations. My whole family loves it.",positive
"The headphones is okay, nothing special about it.",neutral
"The printer works flawlessly, I'm impressed.",positive
"It's an average television, meets basic requirements. It's okay for the price.",neutral
The shoes arrived damaged and customer,negative
"Fantastic phone, customer service was also great. My whole family loves it.",positive
"The book stopped working within a week, awful.",negative
"Great backpack, exceeded my expectations. My whole family loves it.",positive
"This watch is terrible, broke after one day. Asked for a refund.",negative
"The headphones is defective, requesting a refund immediately.",negative
"The tablet is okay for casual use, nothing outstanding. Nothing to write home about.",neutral
"It's an average printer, meets basic requirements. It's okay for the price.",neutral
"Great router, exceeded my expectations. My whole family loves it.",positive
"Worst book I've ever purchased, total waste.",negative
The monitor is functional but the design could improve. Might consider other brands next time.,neutral
The camera is functional but the design could improve. It's okay for the price.,neutral
"Very disappointed with this printer, waste of money. Do not buy this.",negative
"Average book, does the job but nothing more. It's",neutral
"Waste, avoid this headphones.",negative
"I absolutely love this microwave, it works perfectly!",positive
"Best mouse I've ever bought, highly recommend it. Shipping was fast too.",positive
This router is cheaply made and fell apart quickly. Do not buy this.,negative
"Fantastic watch, customer service was also great. My whole family loves it.",positive
"I regret buying this television, it's just useless. Never ordering from here again.",negative
"This headphones is a scam, doesn't work as advertised.",negative
"Excellent quality, tablet arrived on time and works great.",positive
"Outstanding backpack, will definitely buy again.",positive
"It's a standard camera, works fine for basic needs.",neutral
"This television does what it says, nothing extraordinary. Nothing to write home about.",neutral
"Best printer I've ever bought,",positive
"Great keyboard, exceeded",positive
"Outstanding mouse, will definitely buy again.",positive
"The keyboard works as expected, no complaints really. It's okay for the price.",neutral
"Average router, does the job but nothing more.",neutral
"Poor quality television, would not recommend.",negative
Bad headphones.,negative
"This speaker is amazing, worth every penny. Will be buying more from this brand.",positive
"Top notch printer, fast delivery and great packaging. Will be buying more from this brand.",positive
"This book is terrible, broke after one day. Asked for a refund.",negative
"I regret buying this tablet, it's just useless.",negative
"Outstanding tablet, will definitely buy again.",positive
"It's a standard television, works fine for basic",neutral
"This monitor is terrible, broke after one day.",negative
"This microwave is fine, could be better though.",neutral
"I'm so glad I bought this monitor, it's wonderful.",positive
"This headphones exceeded all my expectations, love it. Shipping was fast too.",positive
Good printer.,positive
"Perfect headphones for the price, couldn't be happier. Definitely a great buy.",positive
"Perfect book for the price, couldn't be",positive
"This speaker is a scam, doesn't work as advertised.",negative
"The camera works flawlessly, I'm impressed. My whole family loves it.",positive
"Very happy with this coffee maker, five stars! My",positive
"I'm so glad I bought this jacket, it's wonderful. Shipping was fast too.",positive
"This printer is amazing, worth every penny. Definitely",positive
"I'm so glad I bought this shoes, it's wonderful.",positive
"It's a standard keyboard, works fine for basic needs.",neutral
"Reasonably priced watch,",neutral
"Perfect blender for the price, couldn't be happier.",positive
"This tablet is fine, could be better though. Might consider other brands next time.",neutral
"The television is decent for the price, not amazing. Nothing to write home about.",neutral
"Extremely disappointed, the vacuum cleaner does not work at all. Never ordering from here again.",negative
"Excellent quality, microwave arrived on time and works great.",positive
"Top notch mouse, fast",positive
Okay speaker.,neutral
"The monitor is okay for casual use, nothing outstanding.",neutral
"It's an average watch, meets basic requirements. Might consider other brands next time.",neutral
"Great charger, exceeded my expectations. Shipping was fast too.",positive
"This router is terrible, broke after one day.",negative
"This shoes is amazing, worth every penny.",positive
Okay jacket.,neutral
"Horrible experience with this router, never buying again. Never ordering from here again.",negative
"I'm so glad I bought this router, it's wonderful. Shipping was fast too.",positive
"This shoes is a scam, doesn't work as advertised. Do not buy this.",negative
"I absolutely love this watch, it works perfectly! Definitely a great buy.",positive
"The television works as expected, no complaints really. Nothing to write home about.",neutral
"The phone works as expected, no complaints really. It's okay for the price.",neutral
"Very disappointed with this mouse, waste of money. Never ordering from here again.",negative
"Superb build quality, this microwave is fantastic.",positive
"Awful backpack, broke within days of use. Never",negative
"This monitor is fine, could be better though.",neutral
This headphones is cheaply made and fell apart quickly. Complete waste of money.,negative
"Not bad, not great, just a regular laptop.",neutral
"This phone does what it says, nothing extraordinary.",neutral
"Bad router, completely different from what was advertised. Never ordering from here again.",negative
"I regret buying this watch, it's just useless.",negative
"Poor quality book, would not recommend.",negative
"This jacket is fine, could be better though. Might consider",neutral
"It's a standard microwave, works fine for basic",neutral
"I absolutely love this keyboard, it works perfectly! Definitely a great buy.",positive
"Perfect keyboard for the price, couldn't be happier.",positive
"The microwave works as expected, no complaints really.",neutral
"Really good watch, does exactly what it promises. Definitely a great buy.",positive
This jacket is cheaply made and fell apart quickly.,negative
"Nice shoes, thanks.",positive
"It's a standard coffee maker, works fine for basic needs.",neutral
"Really good headphones, does exactly what it promises. Will be buying more from this brand.",positive
"Great speaker, exceeded my expectations. Will be buying more from this brand.",positive
"Top notch book, fast delivery and great packaging. My whole family loves it.",positive
"Awful keyboard, broke within days of use. Do not buy this.",negative
Okay shoes.,neutral
"This camera does what it says, nothing extraordinary. Might consider other brands next time.",neutral
"It's an average watch, meets basic requirements.",neutral
The mouse is okay for,neutral
This laptop is cheaply,negative
"I regret buying this book, it's just useless.",negative
"Outstanding headphones, will definitely buy again. Shipping was fast too.",positive
"Perfect vacuum cleaner for the price, couldn't be happier.",positive
"This camera is amazing, worth every penny. Shipping was fast too.",positive
"Very disappointed with this monitor, waste of money. Complete waste of money.",negative
Good backpack.,positive
"This backpack is amazing, worth every penny. Definitely a great buy.",positive
"Terrible build quality, this vacuum cleaner is a huge letdown. Never ordering from here again.",negative
"The router is okay, nothing special about it. Nothing to write home about.",neutral
"The television is okay, nothing special about it. It's okay for the price.",neutral
This television is cheaply made and fell apart quickly. Do not buy this.,negative
The shoes arrived damaged and customer service,negative
Okay router.,neutral
"The headphones is defective, requesting a refund immediately. Never ordering from here again.",negative
The backpack arrived damaged and customer service was rude. Complete waste of money.,negative
"I'm so glad I bought this laptop, it's",positive
"The television works flawlessly, I'm impressed.",positive
"Poor quality charger, would not recommend.",negative
"The phone is okay, nothing special about it. Nothing to write home about.",neutral
"Extremely disappointed, the printer does not work",negative
Good book.,positive
"Reasonably priced blender, performs adequately. It's okay for the price.",neutral
"Superb build quality, this microwave is fantastic. My whole family loves it.",positive
"Horrible experience with this phone, never buying again. Complete waste of money.",negative
"I absolutely love this shoes, it",positive
"Outstanding mouse, will definitely buy again. Shipping was fast too.",positive
"Top notch book, fast delivery and great packaging.",positive
The book arrived damaged and customer service was rude. Asked for a refund.,negative
"Really good charger, does exactly what it promises. My whole family loves it.",positive
"Superb build quality, this coffee maker is fantastic.",positive
"The television works flawlessly,",positive
"The book works as expected, no complaints really. Nothing to write home about.",neutral
"This microwave is a scam, doesn't work as advertised. Complete waste of money.",negative
"Nice tablet, thanks.",positive
"The television works flawlessly, I'm impressed. Shipping was fast too.",positive
"The microwave works flawlessly, I'm impressed. My whole family loves it.",positive
"I'm so glad I bought this phone, it's wonderful. Definitely a great buy.",positive
"Outstanding blender, will definitely buy again.",positive
"Terrible build quality, this speaker is a huge letdown.",negative
"The laptop works flawlessly, I'm impressed. Shipping was fast too.",positive
"This charger is terrible, broke after one day. Do not buy this.",negative
"The printer stopped working within a week, awful.",negative
"It's an average camera, meets basic requirements. It's okay for the price.",neutral
"This speaker is fine, could be better though. Might consider other brands next time.",neutral
This tablet is cheaply made and fell apart quickly.,negative
"This keyboard exceeded all my expectations, love it. Will be buying more from this brand.",positive
"This router is fine, could be better",neutral
"Very disappointed with this watch, waste of money. Never ordering from here again.",negative
"The watch works flawlessly, I'm impressed. Definitely a great buy.",positive
The tablet is okay for casual,neutral
"Reasonably priced router, performs adequately. It's okay for the price.",neutral
"Great vacuum cleaner, exceeded my expectations. Will be buying more from this brand.",positive
"I absolutely love this monitor, it works perfectly!",positive
"This backpack exceeded all my expectations, love it.",positive
"Really good vacuum cleaner, does exactly what it promises. Shipping was fast too.",positive
Okay television.,neutral
"Terrible build quality, this backpack is a huge letdown. Asked for a refund.",negative
"Excellent quality, shoes arrived on time and works great. My whole family loves it.",positive
"Poor quality television, would not recommend. Asked for a refund.",negative
"Average jacket, does the job but nothing more.",neutral
"Excellent quality, jacket arrived on",positive
"Great speaker, exceeded my",positive
"This jacket exceeded all my expectations, love it. Definitely a great buy.",positive
"It's a standard blender, works fine for basic needs. Might consider other brands next time.",neutral
"Reasonably priced blender, performs adequately.",neutral
"The coffee maker is decent for the price, not amazing. Might consider other brands next time.",neutral
"This backpack does what it says, nothing extraordinary. Might consider other brands next time.",neutral
"Fantastic vacuum cleaner, customer service was also great. Will be buying more from this brand.",positive
"It's an average shoes, meets basic requirements. Nothing to write home about.",neutral
"Average book, does the job but nothing more.",neutral
"Not bad, not great, just a regular coffee maker. Might consider other brands next time.",neutral
"Bad headphones, completely different from what was advertised. Never ordering from here again.",negative
"This coffee maker is a scam, doesn't",negative
"Outstanding vacuum cleaner, will definitely buy again.",positive
"Waste, avoid this printer.",negative
"Excellent quality, charger arrived on time and works",positive
"Waste, avoid this laptop.",negative
"The tablet is okay for casual use, nothing outstanding. Might consider other brands next time.",neutral
"Horrible experience with this backpack, never buying again. Do not buy this.",negative
"It's a standard printer, works fine for basic needs. It's okay for the price.",neutral
Okay mouse.,neutral
"This headphones does what it says, nothing extraordinary.",neutral
"This television is terrible, broke after one day.",negative
"The backpack is okay, nothing",neutral
"Waste, avoid this camera.",negative
"The television stopped working within a week, awful. Do not buy this.",negative
Very happy with this,positive
"Poor quality keyboard, would not recommend. Do",negative
"Worst keyboard I've ever purchased, total waste. Asked for a refund.",negative
"Best monitor I've ever bought, highly recommend it. Will be buying more from this brand.",positive
"It's an average laptop, meets basic requirements.",neutral
"Nice mouse, thanks.",positive
"Average coffee maker, does the job but nothing more. It's okay for the price.",neutral
"Bad router, completely different from what was advertised. Asked for a refund.",negative
"Superb build quality, this phone",positive
"It's a standard speaker, works fine for basic needs.",neutral
"Fantastic speaker, customer service was also great.",positive
"Extremely disappointed, the tablet does not work at all. Never ordering from here again.",negative
"This vacuum cleaner is fine, could be better though. Nothing to write home about.",neutral
"Superb build quality, this phone is fantastic.",positive
"Terrible build quality, this headphones is a huge letdown.",negative
"Nice monitor, thanks.",positive
"Extremely disappointed, the speaker does not work",negative
"The microwave is defective, requesting a refund immediately. Never ordering from here again.",negative
"Top notch mouse, fast delivery and great packaging. My whole family loves it.",positive
"This coffee maker is terrible, broke after one day. Asked for a refund.",negative
"The microwave is okay, nothing special about it.",neutral
"Average microwave, does the job",neutral
"The charger is okay for casual use, nothing outstanding. It's okay for the price.",neutral
"The backpack works flawlessly, I'm impressed. Shipping was fast too.",positive
"This tablet is fine, could be better though. Nothing to write home about.",neutral
"Poor quality monitor, would not recommend. Do not buy this.",negative
"Superb build quality, this jacket is fantastic. My whole family loves it.",positive
"Not bad, not great, just a regular camera. Nothing to write home about.",neutral
The book is functional but the design could improve.,neutral
"Bad blender, completely different from what was advertised.",negative
Good shoes.,positive
"Fantastic laptop, customer service was also great. Definitely a great buy.",positive
"Superb build quality, this printer is fantastic. Shipping was fast too.",positive
"Poor quality keyboard, would not recommend. Do not buy this.",negative
"The phone works as expected, no complaints really.",neutral
"Not bad, not great, just a regular backpack. Might consider other brands next time.",neutral
"Average microwave, does the job but nothing more. It's okay for the price.",neutral
